时间(ms),颗粒温度(K),火焰温度(K),颗粒半径(um),氧化层厚度(um),火焰半径(um),Mg质量(ug),MgO质量(ug),碳质量(ug),对流换热(W),辐射换热(W),反应热(W),表面反应热(W),总热量(W)
0,300,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.64718554489713,0.541022439614585,0,0,1.18820798451172
0.1,300.239845676883,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.647063608797299,0.541020144777881,0,0,1.18808375357518
0.2,300.47966627658,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.646941685446559,0.541017844675714,0,0,1.18795953012227
0.3,300.7194618006,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.646819774844142,0.541015539300999,0,0,1.18783531414514
0.4,300.959232250452,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.646697876989281,0.541013228646651,0,0,1.18771110563593
0.5,301.198977627642,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.646575991881211,0.541010912705581,0,0,1.18758690458679
0.6,301.438697933677,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.646454119519165,0.5410085914707,0,0,1.18746271098987
0.7,301.678393170058,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.646332259902381,0.541006264934917,0,0,1.1873385248373
0.8,301.918063338288,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.646210413030094,0.541003933091138,0,0,1.18721434612123
0.9,302.157708439868,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.646088578901541,0.541001595932268,0,0,1.18709017483381
1,302.397328476296,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.64596675751596,0.540999253451211,0,0,1.18696601096717
1.1,302.63692344907,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.645844948872591,0.540996905640867,0,0,1.18684185451346
1.2,302.876493359685,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.645723152970672,0.540994552494136,0,0,1.18671770546481
1.3,303.116038209635,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.645601369809445,0.540992194003918,0,0,1.18659356381336
1.4,303.355558000413,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.64547959938815,0.540989830163106,0,0,1.18646942955126
1.5,303.59505273351,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.64535784170603,0.540987460964597,0,0,1.18634530267063
1.6,303.834522410414,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.645236096762327,0.540985086401282,0,0,1.18622118316361
1.7,304.073967032613,NaN,394,13,NaN,0.403099987431474,0.0895427082343574,0,0.645114364556286,0.540982706466052,0,0,1.18609707102234
