时间(ms),颗粒温度(K),火焰温度(K),颗粒半径(um),氧化层厚度(um),火焰半径(um),Mg质量(ug),MgO质量(ug),碳质量(ug),对流换热(W),辐射换热(W),反应热(W),表面反应热(W),总热量(W)
2.3,610.668362080769,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00683044666565972,0.001385430603192,0,0,0.00821587726885172
2.4,622.545931915109,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00674614193735782,0.00138285130207374,0,0,0.00812899323943155
2.5,634.297790789805,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00666272948150264,0.00138014979010643,0,0,0.00804287927160908
2.6,645.925058652908,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00658020134891626,0.00137732498336114,0,0,0.0079575263322774
2.7,657.428841526308,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00649854968926598,0.00137437594722226,0,0,0.00787292563648823
2.8,668.810231505733,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00641776675106431,0.0013713018948467,0,0,0.00778906864591101
2.9,680.070306760751,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00633784488166904,0.00136810218541955,0,0,0.00770594706708859
3,691.210131534771,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00625877652728316,0.00136477632222686,0,0,0.00762355284951002
3.1,702.23075614504,NaN,20.155,1,NaN,5.12252782999497e-05,1.77232146299387e-05,0,0.00618055423295492,0.0013613239505652,0,0,0.00754187818352012
3.2,713.111040836979,NaN,20.1549999976546,0.999999995399697,NaN,5.12252783163765e-05,1.77232146026987e-05,-8.11777127356714e-15,0.00610332804392547,0.00135775230398997,0,0,0.00746108034791543
3.3,723.835100802941,NaN,20.1549999909356,0.999999982221135,NaN,5.12252783634347e-05,1.77232145246641e-05,-3.13728829058287e-14,0.00602721070695389,0.00135406827092318,0,0,0.00738127897787707
3.4,734.411629145527,NaN,20.1549999803306,0.999999961420713,NaN,5.1225278437709e-05,1.77232144014979e-05,-6.80776513963003e-14,0.00595214052024627,0.00135027094654095,0,0,0.00730241146678721
3.5,744.849013380118,NaN,20.1549999663428,0.999999933985349,NaN,5.12252785356755e-05,1.7723214239044e-05,-1.16490552954064e-13,0.00587805795100464,0.00134635924126797,0,0,0.00722441719227261
3.6,755.155335434888,NaN,20.154999949491,0.99999990093246,NaN,5.12252786537011e-05,1.7723214043327e-05,-1.74816223497769e-13,0.00580490563542704,0.00134233188058813,0,0,0.00714723751601517
3.7,765.338371650807,NaN,20.1549999303094,0.999999863309991,NaN,5.12252787880438e-05,1.77232138205519e-05,-2.41205458655631e-13,0.00573262837870746,0.0013381874064671,0,0,0.00707081578517456
3.8,775.405592781648,NaN,20.1549999093479,0.999999822196384,NaN,5.12252789348528e-05,1.77232135771046e-05,-3.13755213765434e-13,0.00566117315503586,0.00133392418029415,0,0,0.00699509733533
3.9,785.364163993982,NaN,20.1549998871719,0.999999778700598,NaN,5.1225279090168e-05,1.77232133195516e-05,-3.90508603874525e-13,0.00559048910759819,0.0013295403872611,0,0,0.00692002949485929
4,795.220944867177,NaN,20.1549998643622,0.999999733962097,NaN,5.12252792499207e-05,1.77232130546401e-05,-4.69454903739822e-13,0.00552052754857636,0.00132503404210735,0,0,0.00684556159068371
4.1,804.98248939339,NaN,20.1549998415155,0.999999689150866,NaN,5.12252794099331e-05,1.7723212789298e-05,-5.4852954782781e-13,0.00545124195914825,0.00132040299617069,0,0,0.00677164495531894
4.2,814.655045977559,NaN,20.1549998192438,0.999999645467391,NaN,5.12252795659185e-05,1.77232125306337e-05,-6.25614130314538e-13,0.00538258798948773,0.00131564494569444,0,0,0.00669823293518217
4.3,824.244557437385,NaN,20.1549997981746,0.99999960414268,NaN,5.12252797134812e-05,1.77232122859364e-05,-6.9853640508562e-13,0.00531452345876465,0.00131075744135176,0,0,0.00662528090011641
4.4,833.756661003324,NaN,20.1549997789513,0.999999566438238,NaN,5.12252798481167e-05,1.77232120626759e-05,-7.65070285736245e-13,0.00524700835514485,0.0013057378989581,0,0,0.00655274625410295
4.5,843.196688318562,NaN,20.1549997622324,0.999999533646096,NaN,5.12252799652112e-05,1.77232118685028e-05,-8.22935845571161e-13,0.00518000483579015,0.00130058361135203,0,0,0.00648058844714219
4.6,852.569665439,NaN,20.1549997486923,0.999999507088787,NaN,5.12252800600423e-05,1.77232117112482e-05,-8.69799317604689e-13,0.00511347722685838,0.00129529176143395,0,0,0.00640876898829234
4.7,861.880312833227,NaN,20.1549997390209,0.999999488119356,NaN,5.12252801277786e-05,1.77232115989239e-05,-9.03273094560709e-13,0.00504739202350338,0.00128985943636013,0,0,0.00633725145986351
4.8,871.1330453825,NaN,20.1549997339235,0.999999478121358,NaN,5.12252801634795e-05,1.77232115397224e-05,-9.20915728872671e-13,0.00498171788987499,0.00128428364289736,0,0,0.00626600153277235
4.9,880.331972380714,NaN,20.1549997341211,0.999999478508859,NaN,5.12252801620958e-05,1.77232115420169e-05,-9.20231932683604e-13,0.00491642565911908,0.00127856132395041,0,0,0.0061949869830695
5,889.480897534378,NaN,20.1549997403501,0.999999490726445,NaN,5.12252801184691e-05,1.77232116143613e-05,-8.98672577846078e-13,0.00485148833337756,0.00127268937628032,0,0,0.00612417770965788
5.1,898.583318962584,NaN,20.1549997533627,0.999999516249205,NaN,5.12252800273322e-05,1.772321176549e-05,-8.53634695922259e-13,0.00478688108378835,0.00126666466943709,0,0,0.00605354575322545
5.2,907.64242919698,NaN,20.1549997739265,0.999999556582732,NaN,5.12252798833088e-05,1.77232120043182e-05,-7.82461478183856e-13,0.00472258125048546,0.00126048406593468,0,0,0.00598306531642014
5.3,916.661115181738,NaN,20.1549998028247,0.999999613263148,NaN,5.12252796809138e-05,1.77232123399417e-05,-6.82442275612158e-13,0.00465856834259891,0.00125414444269969,0,0,0.0059127127852986
5.4,923,NaN,20.1549998408559,0.99999968785707,NaN,5.1225279414553e-05,1.7723212781637e-05,-5.50812598898016e-13,0.0046135761547048,0.00124957514382871,4.42158891504934e-08,4.42158891504934e-08,0.00586319551442266
5.5,923,NaN,20.1549998888344,0.999999781961635,NaN,5.12252790785234e-05,1.77232133388613e-05,-3.84754118441849e-13,0.00461357616568732,0.00124957514977789,5.57809114243223e-08,5.57809114243223e-08,0.00586320709637663
5.6,923,NaN,20.1549999475902,0.999999897204485,NaN,5.1225278667013e-05,1.77232140212524e-05,-1.81394664353654e-13,0.0046135761791368,0.0012495751570634,6.83107273732068e-08,6.83107273732068e-08,0.00586321964692757
5.7,923,NaN,20.1550000179686,1.00000003524378,NaN,5.12252781741008e-05,1.77232148386288e-05,6.21917735470305e-14,0.00461357619524675,0.00124957516579008,8.18234246324825e-08,8.18234246324825e-08,0.00586323318446145
5.8,923,NaN,20.1550001008305,1.00000019776819,NaN,5.12252775937569e-05,1.77232158009896e-05,3.48985045731064e-13,0.00461357621421424,0.00124957517606467,9.63370854737392e-08,9.63370854737392e-08,0.00586324772736438
5.9,923,NaN,20.1550001970525,1.00000038649688,NaN,5.12252769198425e-05,1.77232169185148e-05,6.8201884295979e-13,0.00461357623623991,0.00124957518799586,1.11869798605064e-07,1.11869798605064e-07,0.00586326329403438
6,923,NaN,20.1550003075266,1.00000060317956,NaN,5.12252761461097e-05,1.77232182015646e-05,1.06438069628496e-12,0.00461357626152797,0.00124957520169427,1.28439647370793e-07,1.28439647370793e-07,0.00586327990286961
6.1,923,NaN,20.1550004331605,1.00000084959641,NaN,5.12252752662017e-05,1.77232196606804e-05,1.49921197704873e-12,0.00461357629028617,0.00124957521727244,1.46064718333515e-07,1.46064718333515e-07,0.00586329757227694
6.2,923,NaN,20.1550005748773,1.00000112755815,NaN,5.12252742736529e-05,1.7723221306584e-05,1.98970789688369e-12,0.00461357632272583,0.00124957523484483,1.64763096983067e-07,1.64763096983067e-07,0.00586331632066764
6.3,923,NaN,20.1550007336158,1.00000143890601,NaN,5.12252731618887e-05,1.77232231501778e-05,2.53911750771291e-12,0.00461357635906182,0.00124957525452786,1.8455286773654e-07,1.8455286773654e-07,0.00586333616645742
