时间(ms),颗粒温度(K),火焰温度(K),颗粒半径(um),氧化层厚度(um),火焰半径(um),Mg质量(ug),MgO质量(ug),碳质量(ug),对流换热(W),辐射换热(W),反应热(W),表面反应热(W),总热量(W),Mg质量变化率(ug/s),MgO质量变化率(ug/s),C质量变化率(ug/s),Mg核半径变化率(um/s),颗粒半径变化率(um/s)
5.2,560.695322225376,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0133845843938296,0.00483987178386374,0,0,0.0182244561776934,0,0,0,0,0
5.3,565.269012237255,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0133241115526987,0.00483724874378532,0,0,0.018161360296484,0,0,0,0,0
5.4,569.826851905212,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0132638482831231,0.00483457068071079,0,0,0.0180984189638339,0,0,0,0,0
5.5,574.368878613054,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0132037940908183,0.00483183720872474,0,0,0.018035631299543,0,0,0,0,0
5.6,578.89512963174,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0131439484829916,0.00482904795082155,0,0,0.0179729964338131,0,0,0,0,0
5.7,583.405642119379,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0130843109683424,0.0048262025389451,0,0,0.0179105135072875,0,0,0,0,0
5.8,587.900453121232,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0130248810570622,0.00482330061402538,0,0,0.0178481816710876,0,0,0,0,0
5.9,592.379599569709,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0129656582608348,0.00482034182601217,0,0,0.0177860000868469,0,0,0,0,0
6,596.843118284372,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0129066420928357,0.00481732583390564,0,0,0.0177239679267413,0,0,0,0,0
6.1,601.291045971932,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0128478320677327,0.00481425230578407,0,0,0.0176620843735167,0,0,0,0,0
6.2,605.723419226253,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0127892277016856,0.0048111209188288,0,0,0.0176003486205144,0,0,0,0,0
6.3,610.140274528348,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0127308285123465,0.00480793135934629,0,0,0.0175387598716928,0,0,0,0,0
6.4,614.54164824638,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0126726340188594,0.00480468332278761,0,0,0.017477317341647,0,0,0,0,0
6.5,618.927576635666,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0126146437418602,0.00480137651376511,0,0,0.0174160202556253,0,0,0,0,0
6.6,623.298095838669,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0125568572034773,0.00479801064606665,0,0,0.0173548678495439,0,0,0,0,0
6.7,627.653241885007,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0124992739273308,0.00479458544266719,0,0,0.017293859369998,0,0,0,0,0
6.8,631.993050691446,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0124418934385331,0.00479110063573796,0,0,0.0172329940742711,0,0,0,0,0
6.9,636.317558061904,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0123847152636887,0.00478755596665319,0,0,0.0171722712303419,0,0,0,0,0
7,640.626799687448,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.012327738930894,0.00478395118599444,0,0,0.0171116901168885,0,0,0,0,0
7.1,644.920811146299,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0122709639697377,0.00478028605355273,0,0,0.0170512500232904,0,0,0,0,0
7.2,649.199627903824,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0122143899113003,0.0047765603383283,0,0,0.0169909502496286,0,0,0,0,0
7.3,653.463285312545,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0121580162881547,0.00477277381852821,0,0,0.0169307901066829,0,0,0,0,0
7.4,657.711818612132,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0121018426343657,0.00476892628156181,0,0,0.0168707689159275,0,0,0,0,0
7.5,661.945262929407,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0120458684854902,0.00476501752403411,0,0,0.0168108860095243,0,0,0,0,0
7.6,666.163653278342,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0119900933785771,0.00476104735173708,0,0,0.0167511407303142,0,0,0,0,0
7.7,670.36702456006,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0119345168521677,0.00475701557963898,0,0,0.0166915324318067,0,0,0,0,0
7.8,674.555411562835,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.011879138446295,0.00475292203187171,0,0,0.0166320604781667,0,0,0,0,0
7.9,678.72884896209,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0118239577024842,0.0047487665417163,0,0,0.0165727242442005,0,0,0,0,0
8,682.887371320401,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0117689741637528,0.00474454895158655,0,0,0.0165135231153393,0,0,0,0,0
8.1,687.031013087494,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.01171418737461,0.00474026911301081,0,0,0.0164544564876209,0,0,0,0,0
8.2,691.159808600244,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0116595968810575,0.00473592688661208,0,0,0.0163955237676696,0,0,0,0,0
8.3,695.273792082679,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0116052022305887,0.00473152214208633,0,0,0.016336724372675,0,0,0,0,0
8.4,699.372997645977,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0115510029721893,0.00472705475817918,0,0,0.0162780577303685,0,0,0,0,0
8.5,703.457459288465,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0114969986563371,0.00472252462266099,0,0,0.0162195232789981,0,0,0,0,0
8.6,707.527210895622,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0114431888350018,0.00471793163230028,0,0,0.0161611204673021,0,0,0,0,0
8.7,711.582286240079,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0113895730616454,0.00471327569283571,0,0,0.0161028487544811,0,0,0,0,0
8.8,715.622718981616,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0113361508912218,0.00470855671894648,0,0,0.0160447076101682,0,0,0,0,0
8.9,719.648542667163,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.011282921880177,0.00470377463422132,0,0,0.0159866965143983,0,0,0,0,0
9,723.659790730803,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0112298855864493,0.00469892937112605,0,0,0.0159288149575754,0,0,0,0,0
9.1,727.656496493768,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0111770415694689,0.00469402087096978,0,0,0.0158710624404387,0,0,0,0,0
9.2,731.63869316444,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.011124389390158,0.00468904908386969,0,0,0.0158134384740277,0,0,0,0,0
9.3,735.606413838354,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.011071928610931,0.00468401396871466,0,0,0.0157559425796457,0,0,0,0,0
9.4,739.559691498195,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0110196587956945,0.00467891549312744,0,0,0.0156985742888219,0,0,0,0,0
9.5,743.498559013796,NaN,37.545,0.100000000000002,NaN,0.000382665546770607,6.44836633186303e-06,0,0.0109675795098469,0.0046737536334258,0,0,0.0156413331432727,0,0,0,0,0
